"doc_id","morpheme_analysis"
"doc00027341","This/SL study/SL aimed/SL to/SL analyze/SL the/SL scope/SL ,/SP proficiency/SL levels/SL ,/SP and/SL skill/SL sets/SL of/SL the/SL artificial/SL intelligence/SL (/SSO AI/SL )/SSC field/SL within/SL K/SL -/SO Digital/SL Credit/SL (/SSO KDC/SL )/SSC and/SL to/SL analyze/SL the/SL current/SL state/SL of/SL its/SL linkage/SL with/SL other/SL Ministry/SL of/SL Employment/SL and/SL Labor/SL initiatives/SL ,/SP namely/SL K/SL -/SO Digital/SL Training/SL (/SSO KDT/SL )/SSC and/SL the/SL Smart/SL Training/SL Education/SL Platform/SL (/SSO STEP/SL )/SSC ./SF To/SL achieve/SL these/SL objectives/SL ,/SP the/SL study/SL employed/SL various/SL research/SL methods/SL ,/SP including/SL a/SL literature/SL review/SL ,/SP expert/SL workshops/SL ,/SP surveys/SL ,/SP training/SL course/SL mapping/SL for/SL educational/SL institutions/SL ,/SP expert/SL content/SL validity/SL assessments/SL ,/SP and/SL data/SL visualizat/SL ion./SL The/SL findings/SL indicate/SL that/SL the/SL field/SL of/SL AI/SL is/SL categorized/SL into/SL basic/SL and/SL advanced/SL levels/SL ,/SP with/SL six/SL areas/SL identified/SL :/SP AI/SL service/SL planning/SL ,/SP AI/SL platform/SL development/SL ,/SP AI/SL learning/SL data/SL construction/SL ,/SP AI/SL model/SL implementation/SL ,/SP and/SL AI/SL service/SL operation/SL managem/SL ent./SL Furthermore/SL ,/SP an/SL analysis/SL of/SL the/SL linkage/SL between/SL KDC/SL and/SL other/SL programs/SL in/SL the/SL AI/SL field/SL revealed/SL strong/SL vertical/SL and/SL vertical/SL -/SO horizontal/SL integration/SL ,/SP whereas/SL horizontal/SL linkage/SL remains/SL relatively/SL w/SL eak./SL This/SL study/SL is/SL expected/SL to/SL contribute/SL to/SL strengthening/SL the/SL coordination/SL and/SL effectiveness/SL of/SL KDC/SL and/SL similar/SL projects/SL such/SL as/SL KDT/SL and/SL STEP./SL"
"doc14151408","[/SSO Purpose/SL ]/SSC This/SL study/SL aimed/SL to/SL examine/SL the/SL instructional/SL effects/SL of/SL the/SL Basic/SL Learning/SL Support/SL Team/SL ,/SP which/SL operates/SL with/SL the/SL goal/SL of/SL supporting/SL reading/SL development/SL in/SL underachieving/SL stude/SL nts./SL It/SL also/SL explored/SL potential/SL differences/SL in/SL outcomes/SL based/SL on/SL grade/SL level/SL and/SL gen/SL der./SL [/SSO Methods/SL ]/SSC The/SL study/SL involved/SL 164/SN underachieving/SL students/SL from/SL grades/SL 1/SN through/SL 5/SN in/SL elementary/SL sch/SL ool./SL Reading/SL proficiency/SL was/SL assessed/SL using/SL the/SL Korean/SL Literacy/SL Proficiency/SL Test/SL before/SL and/SL after/SL the/SL intervent/SL ion./SL Data/SL analysis/SL included/SL paired/SL sample/SL t/SL -/SO tests/SL ,/SP independent/SL sample/SL t/SL -/SO tests/SL ,/SP and/SL one/SL -/SO way/SL ANOVA./SL [/SSO Results/SL ]/SSC First/SL ,/SP comparisons/SL of/SL mean/SL scores/SL before/SL and/SL after/SL instruction/SL showed/SL improvements/SL across/SL all/SL subcategories/SL of/SL Korean/SL literacy/SL ,/SP suggesting/SL a/SL potential/SL positive/SL effect/SL of/SL the/SL support/SL provided/SL by/SL the/SL Basic/SL Learning/SL Support/SL Team./SL Second/SL ,/SP by/SL grade/SL level/SL ,/SP students/SL in/SL grades/SL 1/SN through/SL 4/SN showed/SL statistically/SL significant/SL gains/SL ,/SP while/SL changes/SL in/SL grade/SL 5/SN were/SL mini/SL mal./SL Third/SL ,/SP in/SL the/SL gender/SL -/SO based/SL analysis/SL ,/SP female/SL students/SL showed/SL greater/SL improvement/SL than/SL male/SL students/SL in/SL the/SL vowel/SL category/SL ,/SP although/SL no/SL significant/SL gender/SL differences/SL were/SL found/SL in/SL other/SL ar/SL eas./SL [/SSO Conclusion/SL ]/SSC The/SL results/SL indicate/SL that/SL the/SL instruction/SL delivered/SL by/SL the/SL Basic/SL Learning/SL Support/SL Team/SL may/SL have/SL a/SL beneficial/SL impact/SL on/SL the/SL reading/SL abilities/SL of/SL underachieving/SL stude/SL nts./SL However/SL ,/SP limitations/SL exist/SL in/SL drawing/SL generalized/SL conclusi/SL ons./SL In/SL particular/SL ,/SP greater/SL improvements/SL among/SL students/SL in/SL grades/SL 1/SN to/SL 4/SN suggest/SL that/SL the/SL intervention/SL may/SL be/SL more/SL effective/SL at/SL lower/SL grade/SL l/SL evels./SL"
"doc89716681","This/SL study/SL proposes/SL an/SL AI/SL -/SO based/SL integrated/SL framework/SL to/SL predict/SL university/SL students/SL ’/SSC academic/SL performance/SL and/SL providepersonalized/SL learning/SL supp/SL ort./SL Utilizing/SL log/SL data/SL from/SL Canvas/SL LMS/SL ,/SP a/SL widely/SL used/SL open/SL -/SO source/SL learning/SL management/SL system/SL in/SL educational/SL institutions/SL worldwide/SL ,/SP the/SL study/SL builds/SL prediction/SL models/SL based/SL on/SL machine/SL learning/SL and/SL deep/SL learning/SL techn/SL iques./SL Furthermore/SL ,/SP it/SL designs/SL a/SL hybrid/SL recommendation/SL system/SL that/SL combines/SL collaborative/SL filtering/SL and/SL content/SL -/SO based/SL filter/SL ing./SL Byanalyzing/SL learners/SL ’/SSC behavioral/SL data/SL ,/SP the/SL framework/SL enables/SL early/SL detection/SL of/SL academic/SL underperformance/SL and/SL provides/SL automatedfeedback/SL and/SL personalized/SL content/SL ,/SP facilitating/SL timely/SL teacher/SL intervention/SL and/SL promoting/SL self/SL -/SO directed/SL learn/SL ing./SL This/SL approach/SL canserve/SL as/SL a/SL practical/SL tool/SL to/SL enhance/SL personalized/SL support/SL in/SL actual/SL classroom/SL settings/SL and/SL help/SL reduce/SL academic/SL achievement/SL gaps./SL"
"doc58302307","Purpose/SL :/SP This/SL study/SL aimed/SL to/SL analyze/SL the/SL impact/SL of/SL Academic/SL Guarantee/SL Programs/SL ,/SP established/SL within/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL ,/SP on/SL students/SL ’/SSC cognitive/SL compe/SL tence./SL Methods/SL :/SP This/SL study/SL used/SL data/SL from/SL the/SL 2023/SN Gyeonggi/SL School/SL Education/SL Survey/SL ,/SP which/SL included/SL data/SL from/SL elementary/SL school/SL students/SL ,/SP parents/SL ,/SP and/SL scho/SL ols./SL A/SL multilevel/SL model/SL was/SL employed/SL for/SL the/SL analysis/SL ,/SP incorporating/SL level/SL 1/SN (/SSO student/SL -/SO level/SL )/SSC and/SL level/SL 2/SN (/SSO school/SL -/SO level/SL )/SSC vari/SL ables./SL Results/SL :/SP First/SL ,/SP schools/SL implementing/SL the/SL Student/SL -/SO customized/SL Leading/SL School/SL program/SL in/SL the/SL first/SL tier/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL showed/SL higher/SL levels/SL of/SL overall/SL student/SL cognitive/SL competence/SL compared/SL to/SL non/SL -/SO implementing/SL scho/SL ols./SL However/SL ,/SP this/SL statistical/SL significance/SL disappeared/SL when/SL focusing/SL on/SL the/SL group/SL of/SL students/SL at/SL substantial/SL risk/SL of/SL basic/SL academic/SL underachievement/SL ,/SP suggesting/SL that/SL the/SL program/SL may/SL have/SL been/SL insufficient/SL to/SL adequately/SL support/SL all/SL students/SL with/SL academic/SL difficult/SL ies./SL Schools/SL participating/SL in/SL the/SL Co/SL -/SO teaching/SL Support/SL Instructor/SL program/SL showed/SL lower/SL level/SL of/SL students/SL ’/SSC cognitive/SL competence/SL than/SL those/SL in/SL non/SL -/SO participating/SL scho/SL ols./SL Second/SL ,/SP students/SL in/SL schools/SL operating/SL the/SL Do/SL -/SO Dream/SL program/SL ,/SP which/SL is/SL part/SL of/SL the/SL second/SL tier/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL ,/SP showed/SL lower/SL cognitive/SL competence/SL compared/SL to/SL those/SL in/SL non/SL -/SO participating/SL scho/SL ols./SL This/SL result/SL suggests/SL that/SL the/SL program/SL may/SL have/SL encountered/SL challenges/SL or/SL difficulties/SL during/SL its/SL implement/SL ation./SL Conclusion/SL :/SP It/SL is/SL necessary/SL to/SL move/SL beyond/SL the/SL mere/SL establishment/SL of/SL the/SL Multi/SL -/SO Learning/SL Safety/SL Net/SL for/SL basic/SL academic/SL skills/SL ,/SP and/SL instead/SL build/SL a/SL more/SL tightly/SL knit/SL system/SL by/SL deploying/SL professional/SL personnel/SL into/SL tiered/SL progr/SL ams./SL To/SL provide/SL effective/SL support/SL for/SL students/SL with/SL a/SL high/SL likelihood/SL of/SL learning/SL difficulties/SL ,/SP it/SL is/SL essential/SL to/SL evaluate/SL the/SL effectiveness/SL of/SL basic/SL academic/SL skills/SL pro/SL grams./SL"
"doc21836486","This/SL study/SL aims/SL to/SL investigate/SL the/SL factors/SL influencing/SL teachers/SL ’/SSC preferences/SL for/SL different/SL types/SL of/SL co/SL -/SO teaching/SL models/SL implemented/SL to/SL enhance/SL students/SL ’/SSC foundational/SL academic/SL skills/SL and/SL prevent/SL learning/SL l/SL oss./SL Although/SL co/SL -/SO teaching/SL has/SL been/SL reported/SL to/SL produce/SL positive/SL outcomes/SL —/SW particularly/SL in/SL supporting/SL students/SL with/SL learning/SL difficulties/SL and/SL emotional/SL challenges/SL —/SW there/SL remains/SL a/SL lack/SL of/SL specific/SL operational/SL guidelines/SL of/SL each/SL co/SL -/SO teaching/SL type/SL for/SL the/SL perspective/SL of/SL participating/SL teach/SL ers./SL This/SL study/SL addresses/SL this/SL gap/SL by/SL exploring/SL teacher/SL percep/SL tions./SL A/SL survey/SL was/SL administered/SL to/SL elementary/SL school/SL teachers/SL in/SL City/SL A/SL ,/SP focusing/SL on/SL their/SL perceptions/SL of/SL the/SL need/SL for/SL co/SL -/SO teaching/SL ,/SP criteria/SL for/SL selecting/SL students/SL in/SL need/SL of/SL support/SL ,/SP subject/SL areas/SL ,/SP the/SL extent/SL of/SL co/SL -/SO teachers/SL '/SS involvement/SL in/SL instructional/SL design/SL ,/SP and/SL preferences/SL for/SL appropriate/SL co/SL -/SO teaching/SL models/SL (/SSO i.e./SL ,/SP one/SL teach/SL -/SO another/SL assist/SL ,/SP parallel/SL teaching/SL ,/SP individualized/SL support/SL ,/SP and/SL pull/SL -/SO out/SL support/SL )/SSC ./SF To/SL identify/SL key/SL variables/SL influencing/SL teachers/SL ’/SSC preferred/SL co/SL -/SO teaching/SL type/SL ,/SP a/SL random/SL forest/SL analysis/SL was/SL emp/SL loyed./SL The/SL results/SL revealed/SL that/SL the/SL ‘/SSO one/SL teach/SL ,/SP another/SL assist/SL ’/SSC model/SL was/SL preferred/SL for/SL lower/SL -/SO grade/SL students/SL requiring/SL care/SL and/SL school/SL adjustm/SL ent./SL The/SL parallel/SL teaching/SL model/SL was/SL favored/SL in/SL subject/SL areas/SL such/SL as/SL social/SL studies/SL ,/SP science/SL ,/SP and/SL physical/SL education/SL //SP art/SL ,/SP where/SL collaborative/SL or/SL group/SL -/SO based/SL activities/SL are/SL essent/SL ial./SL The/SL individualized/SL support/SL model/SL was/SL deemed/SL suitable/SL for/SL addressing/SL foundational/SL learning/SL gaps/SL ,/SP particularly/SL in/SL third/SL gr/SL ade./SL Lastly/SL ,/SP the/SL pull/SL -/SO out/SL support/SL model/SL was/SL identified/SL as/SL appropriate/SL when/SL instructional/SL accountability/SL is/SL emphasized/SL and/SL parents/SL and/SL student/SL consent/SL is/SL obt/SL ained./SL These/SL findings/SL offer/SL practical/SL implications/SL for/SL frontline/SL teachers/SL by/SL providing/SL evidence/SL -/SO based/SL guidance/SL for/SL selecting/SL appropriate/SL co/SL -/SO teaching/SL models/SL according/SL to/SL student/SL grade/SL level/SL and/SL subject/SL mat/SL ter./SL Additionally/SL ,/SP the/SL study/SL suggests/SL concrete/SL instructional/SL design/SL roles/SL for/SL co/SL -/SO teachers/SL ,/SP contributing/SL to/SL more/SL structured/SL and/SL effective/SL co/SL -/SO teaching/SL implementation/SL in/SL elementary/SL educ/SL ation./SL"
"doc57364084","Traditional/SL paper/SL -/SO based/SL assessments/SL often/SL fall/SL short/SL in/SL accurately/SL evaluating/SL early/SL literacy/SL skills/SL among/SL lower/SL elementary/SL students/SL ,/SP primarily/SL due/SL to/SL their/SL limited/SL reading/SL experience/SL and/SL developmental/SL variabil/SL ity./SL This/SL paper/SL proposes/SL an/SL approach/SL that/SL leverages/SL eye/SL -/SO tracking/SL technology/SL to/SL quantitatively/SL analyze/SL reading/SL behaviors/SL ,/SP independent/SL of/SL prior/SL reading/SL proficie/SL ncy./SL Participants/SL were/SL instructed/SL to/SL read/SL a/SL single/SL page/SL from/SL a/SL picture/SL book/SL containing/SL both/SL text/SL and/SL illustrations/SL ,/SP during/SL which/SL their/SL eye/SL movements/SL were/SL recor/SL ded./SL Key/SL features/SL extracted/SL included/SL fixation/SL ratios/SL on/SL text/SL lines/SL and/SL illustration/SL ar/SL eas./SL These/SL metrics/SL served/SL as/SL inputs/SL for/SL machine/SL learning/SL models/SL aimed/SL at/SL diagnosing/SL early/SL literacy/SL challen/SL ges./SL Initial/SL models/SL utilizing/SL simple/SL decision/SL trees/SL demonstrated/SL low/SL classification/SL performance/SL for/SL identifying/SL students/SL with/SL reading/SL difficult/SL ies./SL However/SL ,/SP integrating/SL Synthetic/SL Minority/SL Over/SL -/SO sampling/SL Technique/SL (/SSO SMOTE/SL )/SSC with/SL a/SL Random/SL Forest/SL ensemble/SL significantly/SL enhanced/SL model/SL accur/SL acy./SL The/SL findings/SL suggest/SL that/SL analyzing/SL region/SL -/SO of/SL -/SO interest/SL (/SSO ROI/SL )/SSC concentration/SL through/SL eye/SL -/SO tracking/SL data/SL can/SL effectively/SL identify/SL early/SL literacy/SL defic/SL its./SL The/SL proposed/SL web/SL -/SO based/SL assessment/SL tool/SL offers/SL an/SL objective/SL alternative/SL to/SL subjective/SL teacher/SL evaluations/SL ,/SP facilitating/SL automated/SL assessments/SL of/SL reading/SL behavi/SL ors./SL This/SL prototype/SL holds/SL promise/SL for/SL informing/SL personalized/SL reading/SL instruction/SL and/SL providing/SL targeted/SL feedback/SL to/SL support/SL early/SL literacy/SL development/SL for/SL elementary/SL students/SL as/SL well/SL as/SL foreigner/SL learning/SL Korean/SL due/SL to/SL the/SL Korean/SL K/SL -/SO culture/SL wave./SL"
"doc49186789","It/SL is/SL essential/SL to/SL implement/SL effective/SL measures/SL to/SL identify/SL students/SL at/SL risk/SL of/SL inadequate/SL basic/SL English/SL skills/SL early/SL and/SL prevent/SL their/SL learning/SL difficult/SL ies./SL This/SL study/SL conducted/SL a/SL research/SL to/SL develop/SL In/SL -/SO Depth/SL Diagnostic/SL Tool/SL for/SL English/SL Early/SL Reading/SL Ability/SL (/SSO IT/SL -/SO ERA/SL )/SSC to/SL measure/SL elementary/SL school/SL English/SL learners/SL ’/SSC early/SL reading/SL abilit/SL ies./SL The/SL research/SL followed/SL the/SL four/SL stages/SL of/SL development/SL research/SL :/SP analysis/SL ,/SP plan/SL ,/SP design/SL ,/SP and/SL reflection/SL ,/SP and/SL developed/SL the/SL diagnostic/SL tool/SL in/SL two/SL pha/SL ses./SL First/SL ,/SP IT/SL -/SO ERA/SL was/SL created/SL to/SL supplement/SL existing/SL basic/SL skills/SL diagnostic/SL tools/SL by/SL focusing/SL on/SL early/SL reading/SL abilities/SL ,/SP including/SL alphabet/SL recognition/SL ,/SP phonemic/SL awareness/SL ,/SP phonics/SL ,/SP word/SL reading/SL ,/SP and/SL sentence/SL read/SL ing./SL In/SL the/SL second/SL phase/SL ,/SP the/SL tool/SL was/SL applied/SL to/SL 60/SN elementary/SL students/SL in/SL grades/SL 4/SN to/SL 6/SN to/SL compare/SL the/SL diagnostic/SL results/SL with/SL those/SL of/SL basic/SL skills/SL assessme/SL nts./SL The/SL analysis/SL confirmed/SL that/SL IT/SL -/SO ERA/SL effectively/SL identifies/SL students/SL at/SL risk/SL of/SL inadequate/SL English/SL skills/SL that/SL previous/SL tools/SL did/SL not/SL det/SL ect./SL Based/SL on/SL these/SL findings/SL ,/SP the/SL study/SL emphasizes/SL the/SL need/SL for/SL early/SL diagnosis/SL and/SL customized/SL remedial/SL education/SL for/SL students/SL lacking/SL basic/SL s/SL kills./SL"
"doc98069061","This/SL study/SL analyzes/SL how/SL the/SL learner/SL category/SL of/SL ""/SSO borderline/SL intellectual/SL functioning/SL ""/SSC is/SL constructed/SL in/SL news/SL reports/SL and/SL what/SL social/SL and/SL educational/SL implications/SL it/SL produ/SL ces./SL A/SL total/SL of/SL 1,571/SN news/SL articles/SL and/SL press/SL releases/SL published/SL between/SL 1990/SN and/SL 2024/SN were/SL examined/SL using/SL structural/SL topic/SL modeling/SL (/SSO STM/SL )/SSC ,/SP and/SL the/SL original/SL texts/SL assigned/SL to/SL each/SL topic/SL were/SL qualitatively/SL interpre/SL ted./SL The/SL analysis/SL revealed/SL that/SL the/SL social/SL meanings/SL attributed/SL to/SL borderline/SL intellectual/SL functioning/SL included/SL categories/SL such/SL as/SL ""/SSO underachieving/SL student/SL ,/SP ""/SSC ""/SSO object/SL of/SL medicalization/SL ,/SP ""/SSC ""/SSO welfare/SL recipient/SL ,/SP ""/SSC and/SL ""/SSO school/SL maladjusted/SL st/SL udent./SL ""/SSC These/SL meanings/SL ultimately/SL reproduced/SL the/SL identities/SL of/SL ""/SSO impairment/SL ""/SSC and/SL ""/SSO social/SL disab/SL ility./SL ""/SSC These/SL two/SL identities/SL ,/SP rather/SL than/SL being/SL exclusively/SL distinguished/SL within/SL news/SL reports/SL ,/SP appeared/SL in/SL overlapping/SL and/SL intersecting/SL ways/SL ;/SP however/SL ,/SP policies/SL and/SL institutional/SL responses/SL remained/SL fragmented/SL ,/SP failing/SL to/SL integrate/SL such/SL complex/SL identit/SL ies./SL Ultimately/SL ,/SP this/SL study/SL reveals/SL that/SL intelligence/SL functions/SL not/SL merely/SL as/SL a/SL psychological/SL indicator/SL but/SL as/SL a/SL technology/SL of/SL governance/SL enabling/SL social/SL classification/SL and/SL exclus/SL ion./SL In/SL particular/SL ,/SP it/SL critically/SL analyzes/SL how/SL the/SL category/SL of/SL borderline/SL intellectual/SL functioning/SL ,/SP as/SL it/SL circulates/SL within/SL public/SL discourse/SL ,/SP is/SL framed/SL as/SL an/SL intrinsic/SL cognitive/SL impairment/SL rather/SL than/SL as/SL a/SL socially/SL constructed/SL product/SL shaped/SL by/SL normativ/SL ity./SL Based/SL on/SL these/SL findings/SL ,/SP the/SL study/SL proposes/SL integrated/SL policy/SL directions/SL and/SL offers/SL a/SL foundation/SL for/SL sociological/SL reflection/SL within/SL educ/SL ation./SL"
"doc13998075","The/SL purpose/SL of/SL this/SL study/SL is/SL two/SL -/SO f/SL old./SL One/SL is/SL to/SL explore/SL elementary/SL school/SL students/SL ’/SSC experience/SL of/SL learning/SL English/SL vocabulary/SL and/SL grammar/SL to/SL identify/SL problems/SL that/SL cause/SL underachievement/SL in/SL Engl/SL ish./SL The/SL other/SL is/SL to/SL support/SL programs/SL for/SL underachievers/SL in/SL English/SL at/SL elementary/SL sch/SL ool./SL A/SL qualitative/SL research/SL method/SL was/SL employed/SL for/SL this/SL research/SL ,/SP and/SL in/SL -/SO depth/SL ,/SP semi/SL -/SO structured/SL interviews/SL were/SL conducted/SL with/SL 6/SN th/SL grade/SL elementary/SL school/SL underachiev/SL ers./SL Ten/SL problems/SL were/SL identified/SL as/SL causes/SL of/SL the/SL underachievement/SL in/SL vocabulary/SL and/SL grammar/SL learn/SL ing./SL Each/SL interview/SL was/SL recorded/SL ,/SP transcribed/SL ,/SP and/SL analyzed/SL to/SL find/SL effective/SL ways/SL to/SL solve/SL such/SL probl/SL ems./SL It/SL was/SL found/SL that/SL underachievers/SL need/SL support/SL programs/SL that/SL can/SL help/SL them/SL understand/SL grammar/SL on/SL the/SL one/SL hand/SL ,/SP and/SL internalize/SL the/SL vocabulary/SL they/SL learn/SL on/SL the/SL ot/SL her./SL Furthermore/SL ,/SP the/SL study/SL demonstrates/SL that/SL ChatGPT/SL has/SL positive/SL impacts/SL on/SL students/SL ’/SSC English/SL achievement/SL and/SL affective/SL domains/SL such/SL as/SL confidence/SL ,/SP interest/SL and/SL anxiety/SL in/SL English/SL learn/SL ing./SL It/SL is/SL shown/SL that/SL AI/SL relieved/SL the/SL anxiety/SL of/SL the/SL underachievers/SL and/SL gave/SL them/SL confidence/SL by/SL providing/SL them/SL with/SL options/SL when/SL faced/SL with/SL difficulties/SL in/SL cl/SL ass./SL The/SL results/SL of/SL this/SL study/SL are/SL expected/SL to/SL foster/SL teachers/SL ’/SSC deeper/SL understanding/SL when/SL applying/SL digital/SL tools/SL in/SL the/SL elementary/SL school/SL co/SL ntext./SL"
"doc19172866","As/SL the/SL number/SL of/SL international/SL students/SL in/SL Korean/SL universities/SL increases/SL ,/SP there/SL has/SL been/SL a/SL rise/SL in/SL cases/SL where/SL academic/SL under/SL -/SO performance/SL leads/SL to/SL student/SL dropo/SL uts./SL Consequently/SL ,/SP providing/SL support/SL for/SL international/SL students/SL facing/SL academic/SL difficulties/SL has/SL become/SL a/SL key/SL concern/SL for/SL many/SL universit/SL ies./SL This/SL study/SL portrays/SL the/SL factors/SL contributing/SL to/SL academic/SL difficulties/SL and/SL life/SL challenges/SL faced/SL by/SL low/SL -/SO achieving/SL international/SL students/SL and/SL explores/SL the/SL potential/SL role/SL of/SL university/SL libraries/SL in/SL coping/SL with/SL these/SL iss/SL ues./SL Focusing/SL on/SL international/SL students/SL enrolled/SL at/SL A/SL University/SL who/SL are/SL struggling/SL academically/SL ,/SP the/SL research/SL examines/SL their/SL challenges/SL in/SL academic/SL performance/SL ,/SP information/SL needs/SL ,/SP current/SL use/SL of/SL library/SL services/SL ,/SP and/SL service/SL ne/SL eds./SL Based/SL on/SL these/SL findings/SL ,/SP the/SL study/SL aims/SL to/SL propose/SL service/SL strategies/SL for/SL university/SL libraries/SL to/SL better/SL serve/SL international/SL stu/SL dents./SL"
