"doc_id","main_topic","main_topic_prob","논문명","저자명","pub_year","KCI 등재 구분","주제분야"
"ART001258699",1,1,"입국초기 새터민 청소년들의심리적 건강상태에 관한 탐색적 연구","양계민;황순택",2008,"등재","기타사회과학"
"ART001466300",1,2,"청소년 자해의 이해 및 특성에 대한 고찰","이동훈;양미진;김수리",2010,"등재","상담심리/심리치료"
"ART001501510",1,3,"청소년 자해 행동의 치료 및 예방과 기독교 상담학적 방안","강경미",2010,"등재","기독교신학"
"ART001673942",1,4,"학교상담현장에서의 위기유형분류와 기독교 가정교육(사역)적 접근","박미라",2012,"등재","기독교교육"
"ART001752685",1,5,"문제행동사례에 대한 유형별 단어 및 형태소 특성 분석: Homi.info에 기록된 사례를 중심으로","강정배;이효신",2013,"등재","특수교육"
"ART001972640",1,6,"청소년 가출과 자살위험 - 정책적 함의","김준홍",2012,"미등재","정책학"
"ART001993192",1,7,"청소년 내담자의 반복적 자해행동의 의미탐색: ‘고통으로 고통을 견디기’","김수진;김봉환",2015,"등재","심리과학"
"ART002008030",1,8,"입체매체를 활용한 집단미술치료프로그램이 학교 부적응 청소년의 스트레스 대처에 미치는 효과","김미희;김정일",2015,"등재","예술교육"
"ART002079322",1,9,"청소년의 처벌민감성과 강화민감성이 불안, 우울, 자해행동에 미치는 영향: 스트레스와 통제가능성 귀인의 역할","이혜림;이영호",2015,"등재","기타사회과학"
"ART002136866",1,10,"청소년의 일상적 스트레스와 자해행동: 인지적 정서조절전략의 조절효과","성나경;강이영",2016,"등재","심리과학"
"ART002159723",1,11,"자살 예방 홍보 메시지의 효과에 영향을 주는 요인에 대한 연구: 촉진/예방 초점 적용과 참여자들의 자기 감시 수준을 중심으로","유현재;김인기;임재성",2016,"등재","신문방송학"
"ART002167043",1,12,"청소년 자해행동: 여중생의 자살적 자해와 비(非)자살적 자해","이동귀;함경애;배병훈",2016,"등재","심리과학"
"ART002265656",1,13,"비자살적 자해의 위험요인과 보호요인 개관","김수진",2017,"등재","기타사회과학"
"ART002267864",1,14,"자해행동 청소년을 위한 단기개입 프로그램 개발 및 효과","이동귀;함경애;정신영;함용미",2017,"등재","심리과학"
"ART002276589",1,15,"학교 내 청소년문제행동의 유형과 교육적 지도방안에 관한 연구","신동업",2017,"등재후보","사회복지교육"
"ART002298984",1,16,"청소년의 비자살적 자해행동에 관한 연구","안영신;송현주",2017,"등재","특수교육"
"ART002302505",1,17,"청소년의 자해 행동 예방을 위한 마음챙김 기반 정서 관리 훈련 효과","이우경",2017,"등재","학교보건"
"ART002352218",1,18,"계절형 우울과 자살 예방을 위한 비타민 D 제재 복용","배종면",2018,"등재","건강증진/보건교육"
"ART002352235",1,19,"아동 및 청소년 자살 상담에 관한 사례 연구","조윤주",2018,"등재","교과교육학"
"ART002356215",1,20,"한국 청소년 대상 성찰기능 일차선별 질문지 타당화","박민경;송현주",2018,"등재","특수교육"
"ART002383228",1,21,"변증법행동치료(DBT)의 근거와 한국 보급: 체계적 문헌 고찰","최현정",2018,"등재","심리과학"
"ART002472086",1,22,"청소년의 충동성이 자해에 미치는 영향 : 사회적지지의 조절효과를 중심으로","김수진",2019,"등재","사회복지학"
"ART002480220",1,23,"청소년의 비자살적 자해와 수치심경향성, 죄책감경청소년의 비자살적 자해와 수치심경향성, 죄책감경향성의 관계향성의 관계","김화정;송현주",2019,"등재후보","상담심리/심리치료"
"ART002484849",1,24,"일 대학병원에 방문한 우울한 청소년에서 비자살성 자해행동의 임상적 특성과 자살 시도 예측요인","김경미",2019,"등재","정신신체의학/자문조정정신의학"
"ART002485587",1,25,"청소년 비자살적 자해 위기상담 경험에 관한 현상학 연구: 상담자 경험을 중심으로","권경인;김지영",2019,"등재","교육학"
"ART002499950",1,26,"비자살적 자해와 극복과정 경험에 대한 질적 연구: 상담경험이 있는 청소년을 대상으로","서미;김지혜;이태영;김은하",2019,"등재","교육학"
"ART002530661",1,27,"자살 의도가 없는 자해의 근거기반치료","허지원",2019,"등재","심리과학"
"ART002553617",1,28,"여자 청소년들의 비자살적 자해에 대한 의미","손자영",2020,"등재","기타사회과학"
"ART002559122",1,29,"청소년 자해에 관한 연구동향","임경문;김혜경;백운진;이윤주",2020,"등재","기타사회과학"
"ART002582312",1,30,"학교차원 긍정적 행동지원 적용을 통한 위기학생 예방 및 지원 방안 모색","박계신",2020,"등재","특수교육"
"ART002587193",1,31,"청소년의 학교폭력 피해경험, 우울, 자살생각과의 관계에서 부모 방임수준의 조절된 매개효과","심혜인;김동현;곽대경",2020,"등재","경찰행정"
"ART002589448",1,32,"대학생의 자해 중단 경험에 대한 사례연구","김지윤;조영희;김성연;이동훈",2020,"등재","심리과학"
"ART002600863",1,33,"청소년 자해 관련 국내 연구 동향","이문영;배용순",2020,"등재","사회복지학"
"ART002601275",1,34,"청소년 자살위험의 유형화와 심리사회적 특성연구","최진영;유비;김기현;최윤선;함혜욱",2020,"등재","사회복지학"
"ART002603091",1,35,"중학생의 비자살적 자해에 영향을 미치는 요인 : 자해의 심각성을 중심으로","배수현;성희자",2020,"등재","사회복지학"
"ART002603662",1,36,"특성화고등학교 남학생들의 비자살적 자해 실태 및 동기에 관한 연구","박문숙;서영석;안하얀",2020,"등재","상담심리/심리치료"
"ART002603796",1,37,"청소년 비자살적 자해상담 경험에 대한 현상학 연구: 상담자의 어려움과 대처방안을 중심으로","권경인;김지영",2020,"등재","상담심리/심리치료"
"ART002603875",1,38,"EBP 기반 자살⋅자해 청소년 상담클리닉 운영 모형 개발","서미;소수연;강유임;손지아;김지혜",2020,"등재","상담심리/심리치료"
"ART002603881",1,39,"고위기(자살시도 및 자해)청소년 개인맞춤형 그뤠잇⁺ 프로그램의 효과","신수정;정은실;허미경;윤은주",2020,"등재","상담심리/심리치료"
"ART002614288",1,40,"자해 청소년의 정신분석적 미술치료 단일 임상사례 연구","하재희;안석",2020,"등재","목회상담학"
"ART002622594",1,41,"비자살적 자해(Non-Suicidal Self-Injury: NSSI)에 대한 국내연구동향: 2000년부터 2019년까지","박경애;김지연;강남이;김숙진;윤희옥",2020,"등재","기타사회과학"
"ART002632873",1,42,"청소년 집단에서의 자해와 SNS 사용: 체계적 문헌고찰 연구","김소정;고그림",2020,"등재","임상심리"
"ART002648004",1,43,"유년기 무효화 환경과 고통 감내력 부족이 청소년의 비자살적 자해에 미치는 영향: 자기표현의 매개된 조절효과","송지숙;구본용",2020,"등재","기타사회과학"
"ART002648011",1,44,"고등학생의 아동기 학대 경험과 비자살적 자해 간의 관계: 초기 부적응 도식의 매개효과를 중심으로","강민아;장재홍",2020,"등재","기타사회과학"
"ART002650400",1,45,"청소년의 정서적 학대 경험이 비자살적 자해에 미치는 영향: 초기부적응도식과 정서조절곤란의 이중매개효과","이수정;김종남",2020,"등재","심리과학"
"ART002653298",1,46,"부모양육행동과 남자 청소년들의 비자살적 자해행동: 자해동기의 순차매개효과","박문숙;안하얀;서영석",2020,"등재","교과교육학"
"ART002662805",1,47,"자해 청소년에 대한 대중의 반응 및 태도:네이버와 다음 뉴스 댓글을 중심으로","김서영;손하림;이동귀",2020,"등재","심리과학"
"ART002663284",1,48,"청소년의 자해 행동 관련 변인에 대한 메타분석","이현정;김장회",2020,"등재","교육상담"
"ART002683921",1,49,"비자살적 자해 청소년 상담의 개입방안에 대한 수퍼바이저의 인식연구","김영자;라수현;김나진;김영희",2021,"등재","정책학일반"
"ART002684353",1,50,"부정적 정서에 대한 모의 비지지적 반응이 청소년의 비자살적 자해에 미치는 영향: 정서인식명확성, 정서표현양가성, 정서조절곤란을 중심으로","정인순;안귀여루",2021,"등재","기타사회과학"
"ART002696868",1,51,"청소년의 스트레스 및 우울이 자해행동에 미치는 영향에서 자기통제력의 조절효과","이순희;허만세",2021,"등재","청소년복지"
"ART002708407",1,52,"청소년의 인지적 정서조절 전략 사용유형에 따른 일상적 스트레스 반응과 자해행동의 차이: 잠재프로파일분석을 중심으로","성나경;성현준;이지혜",2021,"등재","기타사회과학"
"ART002709571",1,53,"랜덤 포레스트를 활용한 이혼 가정 청소년의 과도한 인터넷 및 스마트폰 이용 예측 요인 탐색","연은모;최효식",2021,"등재","교과교육학"
"ART002712384",1,54,"가정폭력 피해경험, 또래괴롭힘 피해경험 및 정서강도가 청소년의 비자살적 자해에 미치는 영향: 감정표현불능증의 매개효과","박상미;김정민",2021,"등재","사회과학일반"
"ART002717531",1,55,"청소년의 불안애착과 행동전염과의 관계: 자기수용과 또래동조성의 매개효과","이정화;최수미;유인화",2021,"등재","기타사회과학"
"ART002726860",1,56,"사회현상 변화와 군대 윤리에 관한 연구","류영규",2021,"등재","기타사회과학"
"ART002731323",1,57,"청소년기 자해 행동을 경험한 대학생의 내러티브 탐구","성경주;조영매",2021,"등재","경찰행정"
"ART002734646",1,58,"비자살적 자해 청소년 상담에서의 상담자 개입 경험에 관한 질적 연구","오윤서;장유진",2021,"등재","상담심리/심리치료"
"ART002734656",1,59,"청소년 불안․우울 경험과 회복 과정에 대한 질적 연구","소수연;주지선;조은희;손영민;백정원",2021,"등재","상담심리/심리치료"
"ART002738328",1,60,"청소년기 자해 경험에 대한 합의적 질적 연구","이인숙;박재연",2021,"등재","기타사회과학"
"ART002738571",1,61,"자해 청소년의 ETC 기반 미술치료 체험에 관한 내러티브 탐구","전진옥;전순영",2021,"등재","특수교육"
"ART002749299",1,62,"지각된 사회적 지지가 청소년의 비자살적 자해에 미치는 영향: 정서조절 능력에 의해 조절된 외로움의 매개효과","윤경숙;하정희",2021,"등재","심리과학"
"ART002750549",1,63,"비자살적 자해 청소년과의 상담에서 상담자 체험에 관한 내러티브 탐구","박소연;유미숙",2021,"등재","놀이치료"
"ART002758462",1,64,"전문상담교사를 위한 정신건강 전문의 온라인 자문 내용 분석","우효주;손민;사공정규;최승우;이상규;이병철;윤형준;양종철;김태윤",2021,"등재","감성문화/사회"
"ART002762845",1,65,"청소년 자녀의 비자살적 자해에 대한 어머니의 경험: 단일 사례연구","서한나;김수진",2021,"등재","학제간연구"
"ART002767580",1,66,"부모 방임과 학대가 청소년의 비자살적 자해에 미치는 영향: 적응적 정서조절 전략의 매개효과","임수진;최희빈",2021,"등재","기타사회과학"
"ART002771960",1,67,"비자살적 자해청소년의 자해중단 경험연구","신수정;한재희",2021,"등재","교육학"
"ART002777736",1,68,"청소년의 복합외상이 비자살적 자해에 미치는 영향: 부적응적 인지 정서조절 전략과 생리적 스트레스의 이중매개효과","이다슬;오성은;신성만",2021,"등재","기타사회과학"
"ART002785184",1,69,"자살 및 자해 상담 교육프로그램 요소에 대한 탐색적 연구: 상담자 요구를 중심으로","권경인;김지영",2021,"등재","교과교육학"
"ART002785609",1,70,"청소년의 비자살적 자해 잠재계층유형 분석: 영향요인과 유형별 정서⋅행동문제 차이","김형수;이주영",2021,"등재","기타사회과학"
"ART002791927",1,71,"청소년의 자해 경험에 대한 질적 사례 연구: 거기서 기다리는 나는 없다","장은혜",2021,"등재","교육학"
"ART002801537",1,72,"대학병원에서 관찰한 코로나19가 소아청소년 자해에 미치는 영향","오새봄;김승준;김지웅;오홍석;임우영;이나현",2021,"등재","정신신체의학/자문조정정신의학"
"ART002808086",1,73,"중학생 자해행동의 보호 요인과 위험 요인: 일상적 스트레스, 자기통제, 사회적 지지를 중심으로","이영희;최윤정;유현숙",2022,"등재","교육학"
"ART002815842",1,74,"키워드 네트워크 분석을 통한 청소년 자해 연구 동향: 2010-2021년도 국내 학술지 게재 논문을 중심으로","이지영",2022,"등재","통계학"
"ART002824552",1,75,"정신화기반치료의 치료체계와 근거: 체계적 문헌 고찰","이정하;김지원;하현주",2022,"등재","임상심리"
"ART002825746",1,76,"부모의 심리적 통제가 여자청소년의 자해행동에 미치는 영향: 정서강도에 의해 조절된 내면화된 수치심의 매개효과를 중심으로","이연희;구훈정",2022,"등재","임상심리"
